"Step","fanciful-sweep-30 - var_square_loss_track","fanciful-sweep-30 - var_square_loss_track__MIN","fanciful-sweep-30 - var_square_loss_track__MAX","cerulean-sweep-29 - var_square_loss_track","cerulean-sweep-29 - var_square_loss_track__MIN","cerulean-sweep-29 - var_square_loss_track__MAX","graceful-sweep-28 - var_square_loss_track","graceful-sweep-28 - var_square_loss_track__MIN","graceful-sweep-28 - var_square_loss_track__MAX","lunar-sweep-27 - var_square_loss_track","lunar-sweep-27 - var_square_loss_track__MIN","lunar-sweep-27 - var_square_loss_track__MAX","solar-sweep-26 - var_square_loss_track","solar-sweep-26 - var_square_loss_track__MIN","solar-sweep-26 - var_square_loss_track__MAX","fluent-sweep-25 - var_square_loss_track","fluent-sweep-25 - var_square_loss_track__MIN","fluent-sweep-25 - var_square_loss_track__MAX","misunderstood-sweep-24 - var_square_loss_track","misunderstood-sweep-24 - var_square_loss_track__MIN","misunderstood-sweep-24 - var_square_loss_track__MAX","exalted-sweep-23 - var_square_loss_track","exalted-sweep-23 - var_square_loss_track__MIN","exalted-sweep-23 - var_square_loss_track__MAX","winter-sweep-22 - var_square_loss_track","winter-sweep-22 - var_square_loss_track__MIN","winter-sweep-22 - var_square_loss_track__MAX","atomic-sweep-21 - var_square_loss_track","atomic-sweep-21 - var_square_loss_track__MIN","atomic-sweep-21 - var_square_loss_track__MAX","earthy-sweep-20 - var_square_loss_track","earthy-sweep-20 - var_square_loss_track__MIN","earthy-sweep-20 - var_square_loss_track__MAX","lyric-sweep-19 - var_square_loss_track","lyric-sweep-19 - var_square_loss_track__MIN","lyric-sweep-19 - var_square_loss_track__MAX","whole-sweep-18 - var_square_loss_track","whole-sweep-18 - var_square_loss_track__MIN","whole-sweep-18 - var_square_loss_track__MAX","grateful-sweep-17 - var_square_loss_track","grateful-sweep-17 - var_square_loss_track__MIN","grateful-sweep-17 - var_square_loss_track__MAX","young-sweep-16 - var_square_loss_track","young-sweep-16 - var_square_loss_track__MIN","young-sweep-16 - var_square_loss_track__MAX","ethereal-sweep-15 - var_square_loss_track","ethereal-sweep-15 - var_square_loss_track__MIN","ethereal-sweep-15 - var_square_loss_track__MAX","rosy-sweep-14 - var_square_loss_track","rosy-sweep-14 - var_square_loss_track__MIN","rosy-sweep-14 - var_square_loss_track__MAX","rare-sweep-13 - var_square_loss_track","rare-sweep-13 - var_square_loss_track__MIN","rare-sweep-13 - var_square_loss_track__MAX","desert-sweep-12 - var_square_loss_track","desert-sweep-12 - var_square_loss_track__MIN","desert-sweep-12 - var_square_loss_track__MAX","expert-sweep-11 - var_square_loss_track","expert-sweep-11 - var_square_loss_track__MIN","expert-sweep-11 - var_square_loss_track__MAX","trim-sweep-10 - var_square_loss_track","trim-sweep-10 - var_square_loss_track__MIN","trim-sweep-10 - var_square_loss_track__MAX","efficient-sweep-9 - var_square_loss_track","efficient-sweep-9 - var_square_loss_track__MIN","efficient-sweep-9 - var_square_loss_track__MAX","vague-sweep-8 - var_square_loss_track","vague-sweep-8 - var_square_loss_track__MIN","vague-sweep-8 - var_square_loss_track__MAX","charmed-sweep-7 - var_square_loss_track","charmed-sweep-7 - var_square_loss_track__MIN","charmed-sweep-7 - var_square_loss_track__MAX","dauntless-sweep-6 - var_square_loss_track","dauntless-sweep-6 - var_square_loss_track__MIN","dauntless-sweep-6 - var_square_loss_track__MAX","morning-sweep-5 - var_square_loss_track","morning-sweep-5 - var_square_loss_track__MIN","morning-sweep-5 - var_square_loss_track__MAX","grateful-sweep-4 - var_square_loss_track","grateful-sweep-4 - var_square_loss_track__MIN","grateful-sweep-4 - var_square_loss_track__MAX","rich-sweep-3 - var_square_loss_track","rich-sweep-3 - var_square_loss_track__MIN","rich-sweep-3 - var_square_loss_track__MAX","dutiful-sweep-2 - var_square_loss_track","dutiful-sweep-2 - var_square_loss_track__MIN","dutiful-sweep-2 - var_square_loss_track__MAX","whole-sweep-1 - var_square_loss_track","whole-sweep-1 - var_square_loss_track__MIN","whole-sweep-1 - var_square_loss_track__MAX"
"1","0.03626729175448418","0.03626729175448418","0.03626729175448418","0.038416702300310135","0.038416702300310135","0.038416702300310135","0.03793390467762947","0.03793390467762947","0.03793390467762947","0.041317373514175415","0.041317373514175415","0.041317373514175415","0.04461631178855896","0.04461631178855896","0.04461631178855896","0.039310429245233536","0.039310429245233536","0.039310429245233536","0.0369819700717926","0.0369819700717926","0.0369819700717926","0.037805601954460144","0.037805601954460144","0.037805601954460144","0.03696875274181366","0.03696875274181366","0.03696875274181366","0.03612441197037697","0.03612441197037697","0.03612441197037697","0.03626729175448418","0.03626729175448418","0.03626729175448418","0.038416702300310135","0.038416702300310135","0.038416702300310135","0.03793390467762947","0.03793390467762947","0.03793390467762947","0.041317373514175415","0.041317373514175415","0.041317373514175415","0.04461631178855896","0.04461631178855896","0.04461631178855896","0.039310429245233536","0.039310429245233536","0.039310429245233536","0.0369819700717926","0.0369819700717926","0.0369819700717926","0.037805601954460144","0.037805601954460144","0.037805601954460144","0.03696875274181366","0.03696875274181366","0.03696875274181366","0.03612441197037697","0.03612441197037697","0.03612441197037697","0.03626729175448418","0.03626729175448418","0.03626729175448418","0.038416702300310135","0.038416702300310135","0.038416702300310135","0.03793390467762947","0.03793390467762947","0.03793390467762947","0.041317373514175415","0.041317373514175415","0.041317373514175415","0.04461631178855896","0.04461631178855896","0.04461631178855896","0.039310429245233536","0.039310429245233536","0.039310429245233536","0.0369819700717926","0.0369819700717926","0.0369819700717926","0.037805601954460144","0.037805601954460144","0.037805601954460144","0.03696875274181366","0.03696875274181366","0.03696875274181366","0.03612441197037697","0.03612441197037697","0.03612441197037697"
"4","0.02492641657590866","0.02492641657590866","0.02492641657590866","0.025163855403661728","0.025163855403661728","0.025163855403661728","0.023920880630612373","0.023920880630612373","0.023920880630612373","0.023169035091996193","0.023169035091996193","0.023169035091996193","0.02525871805846691","0.02525871805846691","0.02525871805846691","0.024304788559675217","0.024304788559675217","0.024304788559675217","0.025335578247904778","0.025335578247904778","0.025335578247904778","0.026320794597268105","0.026320794597268105","0.026320794597268105","0.026756998151540756","0.026756998151540756","0.026756998151540756","0.026677176356315613","0.026677176356315613","0.026677176356315613","0.03207065165042877","0.03207065165042877","0.03207065165042877","0.033629123121500015","0.033629123121500015","0.033629123121500015","0.0352928601205349","0.0352928601205349","0.0352928601205349","0.03474695235490799","0.03474695235490799","0.03474695235490799","0.030408691614866257","0.030408691614866257","0.030408691614866257","0.03456762433052063","0.03456762433052063","0.03456762433052063","0.030952276661992073","0.030952276661992073","0.030952276661992073","0.03455774113535881","0.03455774113535881","0.03455774113535881","0.034272994846105576","0.034272994846105576","0.034272994846105576","0.034480780363082886","0.034480780363082886","0.034480780363082886","0.029803097248077393","0.029803097248077393","0.029803097248077393","0.0388139933347702","0.0388139933347702","0.0388139933347702","0.036023933440446854","0.036023933440446854","0.036023933440446854","0.03992106765508652","0.03992106765508652","0.03992106765508652","0.03501852601766586","0.03501852601766586","0.03501852601766586","0.03488106280565262","0.03488106280565262","0.03488106280565262","0.03243585303425789","0.03243585303425789","0.03243585303425789","0.03655155748128891","0.03655155748128891","0.03655155748128891","0.035954173654317856","0.035954173654317856","0.035954173654317856","0.03535650297999382","0.03535650297999382","0.03535650297999382"
"7","0.019293466582894325","0.019293466582894325","0.019293466582894325","0.01791868917644024","0.01791868917644024","0.01791868917644024","0.017283020541071892","0.017283020541071892","0.017283020541071892","0.019224276766180992","0.019224276766180992","0.019224276766180992","0.01780003309249878","0.01780003309249878","0.01780003309249878","0.015532680787146091","0.015532680787146091","0.015532680787146091","0.017162274569272995","0.017162274569272995","0.017162274569272995","0.017169520258903503","0.017169520258903503","0.017169520258903503","0.018880151212215424","0.018880151212215424","0.018880151212215424","0.017777036875486374","0.017777036875486374","0.017777036875486374","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.030397720634937286","0.030397720634937286","0.030397720634937286","0.03518230468034744","0.03518230468034744","0.03518230468034744","0.03384558483958244","0.03384558483958244","0.03384558483958244","0.03114328533411026","0.03114328533411026","0.03114328533411026","0.032820675522089005","0.032820675522089005","0.032820675522089005","0.032350748777389526","0.032350748777389526","0.032350748777389526","0.033898599445819855","0.033898599445819855","0.033898599445819855","0.030503854155540466","0.030503854155540466","0.030503854155540466","0.033770740032196045","0.033770740032196045","0.033770740032196045","0.033257290720939636","0.033257290720939636","0.033257290720939636","0.023600980639457703","0.023600980639457703","0.023600980639457703","0.03808155655860901","0.03808155655860901","0.03808155655860901","0.026598524302244186","0.026598524302244186","0.026598524302244186","0.03328706696629524","0.03328706696629524","0.03328706696629524","0.0392707996070385","0.0392707996070385","0.0392707996070385","0.0279855914413929","0.0279855914413929","0.0279855914413929","0.027497287839651108","0.027497287839651108","0.027497287839651108","0.028910581022500992","0.028910581022500992","0.028910581022500992","0.0292916651815176","0.0292916651815176","0.0292916651815176","0.02871212735772133","0.02871212735772133","0.02871212735772133"
"10","0.014969638548791409","0.014969638548791409","0.014969638548791409","0.017768630757927895","0.017768630757927895","0.017768630757927895","0.01799699477851391","0.01799699477851391","0.01799699477851391","0.01817355491220951","0.01817355491220951","0.01817355491220951","0.01666751690208912","0.01666751690208912","0.01666751690208912","0.01717389188706875","0.01717389188706875","0.01717389188706875","0.016624867916107178","0.016624867916107178","0.016624867916107178","0.01862761378288269","0.01862761378288269","0.01862761378288269","0.017271772027015686","0.017271772027015686","0.017271772027015686","0.018800456076860428","0.018800456076860428","0.018800456076860428","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.02845146879553795","0.02845146879553795","0.02845146879553795","0.030066272243857384","0.030066272243857384","0.030066272243857384","0.026050839573144913","0.026050839573144913","0.026050839573144913","0.031070521101355553","0.031070521101355553","0.031070521101355553","0.02718951553106308","0.02718951553106308","0.02718951553106308","0.026776693761348724","0.026776693761348724","0.026776693761348724","0.027273260056972504","0.027273260056972504","0.027273260056972504","0.028821825981140137","0.028821825981140137","0.028821825981140137","0.029602183029055595","0.029602183029055595","0.029602183029055595","0.02803334780037403","0.02803334780037403","0.02803334780037403","0.021345941349864006","0.021345941349864006","0.021345941349864006","0.03614092245697975","0.03614092245697975","0.03614092245697975","0.017455199733376503","0.017455199733376503","0.017455199733376503","0.036219023168087006","0.036219023168087006","0.036219023168087006","0.04001285508275032","0.04001285508275032","0.04001285508275032","0.024162787944078445","0.024162787944078445","0.024162787944078445","0.021793438121676445","0.021793438121676445","0.021793438121676445","0.03146498277783394","0.03146498277783394","0.03146498277783394","0.028202977031469345","0.028202977031469345","0.028202977031469345","0.027570540085434914","0.027570540085434914","0.027570540085434914"
"13","0.01665346696972847","0.01665346696972847","0.01665346696972847","0.01757480576634407","0.01757480576634407","0.01757480576634407","0.017550919204950333","0.017550919204950333","0.017550919204950333","0.014618025161325932","0.014618025161325932","0.014618025161325932","0.017584141343832016","0.017584141343832016","0.017584141343832016","0.018145712092518806","0.018145712092518806","0.018145712092518806","0.018670175224542618","0.018670175224542618","0.018670175224542618","0.01506213191896677","0.01506213191896677","0.01506213191896677","0.017502935603260994","0.017502935603260994","0.017502935603260994","0.017076315358281136","0.017076315358281136","0.017076315358281136","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"16","0.007665238343179226","0.007665238343179226","0.007665238343179226","0.007178958971053362","0.007178958971053362","0.007178958971053362","0.006778308190405369","0.006778308190405369","0.006778308190405369","0.006317102815955877","0.006317102815955877","0.006317102815955877","0.007868864573538303","0.007868864573538303","0.007868864573538303","0.0065771169029176235","0.0065771169029176235","0.0065771169029176235","0.006706583313643932","0.006706583313643932","0.006706583313643932","0.006608161143958569","0.006608161143958569","0.006608161143958569","0.006522676441818476","0.006522676441818476","0.006522676441818476","0.007342946715652943","0.007342946715652943","0.007342946715652943","0.02092134580016136","0.02092134580016136","0.02092134580016136","0.020695315673947334","0.020695315673947334","0.020695315673947334","0.02155257947742939","0.02155257947742939","0.02155257947742939","0.02164611406624317","0.02164611406624317","0.02164611406624317","0.020781194791197777","0.020781194791197777","0.020781194791197777","0.02142186649143696","0.02142186649143696","0.02142186649143696","0.020540006458759308","0.020540006458759308","0.020540006458759308","0.023556049913167953","0.023556049913167953","0.023556049913167953","0.021155498921871185","0.021155498921871185","0.021155498921871185","0.020269114524126053","0.020269114524126053","0.020269114524126053","0.019095811992883682","0.019095811992883682","0.019095811992883682","0.032550111413002014","0.032550111413002014","0.032550111413002014","0.017722517251968384","0.017722517251968384","0.017722517251968384","0.027398250997066498","0.027398250997066498","0.027398250997066498","0.0351838544011116","0.0351838544011116","0.0351838544011116","0.020581519231200218","0.020581519231200218","0.020581519231200218","0.021914198994636536","0.021914198994636536","0.021914198994636536","0.026957428082823753","0.026957428082823753","0.026957428082823753","0.025596437975764275","0.025596437975764275","0.025596437975764275","0.02701171301305294","0.02701171301305294","0.02701171301305294"
"19","0.00253151822835207","0.00253151822835207","0.00253151822835207","0.0026800790801644325","0.0026800790801644325","0.0026800790801644325","0.002815929241478443","0.002815929241478443","0.002815929241478443","0.002770899562165141","0.002770899562165141","0.002770899562165141","0.0025410864036530256","0.0025410864036530256","0.0025410864036530256","0.0031368781346827745","0.0031368781346827745","0.0031368781346827745","0.0026131023187190294","0.0026131023187190294","0.0026131023187190294","0.0027559115551412106","0.0027559115551412106","0.0027559115551412106","0.002809460973367095","0.002809460973367095","0.002809460973367095","0.002851105062291026","0.002851105062291026","0.002851105062291026","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.020510664209723473","0.020510664209723473","0.020510664209723473","0.017853016033768654","0.017853016033768654","0.017853016033768654","0.020575322210788727","0.020575322210788727","0.020575322210788727","0.01971186138689518","0.01971186138689518","0.01971186138689518","0.01777876354753971","0.01777876354753971","0.01777876354753971","0.017187312245368958","0.017187312245368958","0.017187312245368958","0.01861632987856865","0.01861632987856865","0.01861632987856865","0.017751440405845642","0.017751440405845642","0.017751440405845642","0.01768721640110016","0.01768721640110016","0.01768721640110016","0.019145820289850235","0.019145820289850235","0.019145820289850235","0.01858454942703247","0.01858454942703247","0.01858454942703247","0.031201308593153954","0.031201308593153954","0.031201308593153954","0.015451357699930668","0.015451357699930668","0.015451357699930668","0.024816161021590233","0.024816161021590233","0.024816161021590233","0.02412969246506691","0.02412969246506691","0.02412969246506691","0.02194339595735073","0.02194339595735073","0.02194339595735073","0.020983237773180008","0.020983237773180008","0.020983237773180008","0.02375633642077446","0.02375633642077446","0.02375633642077446","0.02474784478545189","0.02474784478545189","0.02474784478545189","0.026404969394207","0.026404969394207","0.026404969394207"
"22","0.0025850192178040743","0.0025850192178040743","0.0025850192178040743","0.002506444463506341","0.002506444463506341","0.002506444463506341","0.002518200781196356","0.002518200781196356","0.002518200781196356","0.00287745357491076","0.00287745357491076","0.00287745357491076","0.0026028950233012438","0.0026028950233012438","0.0026028950233012438","0.002860990585759282","0.002860990585759282","0.002860990585759282","0.002788165118545294","0.002788165118545294","0.002788165118545294","0.002943406580016017","0.002943406580016017","0.002943406580016017","0.0030046238098293543","0.0030046238098293543","0.0030046238098293543","0.0026777407620102167","0.0026777407620102167","0.0026777407620102167","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.01478315144777298","0.01478315144777298","0.01478315144777298","0.01330855954438448","0.01330855954438448","0.01330855954438448","0.014865990728139877","0.014865990728139877","0.014865990728139877","0.015236266888678074","0.015236266888678074","0.015236266888678074","0.016107425093650818","0.016107425093650818","0.016107425093650818","0.014603802934288979","0.014603802934288979","0.014603802934288979","0.014467914588749409","0.014467914588749409","0.014467914588749409","0.015078599564731121","0.015078599564731121","0.015078599564731121","0.014767407439649105","0.014767407439649105","0.014767407439649105","0.015132217667996883","0.015132217667996883","0.015132217667996883","0.014548883773386478","0.014548883773386478","0.014548883773386478","0.02343912608921528","0.02343912608921528","0.02343912608921528","0.011955704540014267","0.011955704540014267","0.011955704540014267","0.018290018662810326","0.018290018662810326","0.018290018662810326","0.018446512520313263","0.018446512520313263","0.018446512520313263","0.022677073255181313","0.022677073255181313","0.022677073255181313","0.017385931685566902","0.017385931685566902","0.017385931685566902","0.024074401706457138","0.024074401706457138","0.024074401706457138","0.013798692263662815","0.013798692263662815","0.013798692263662815","0.026883026584982872","0.026883026584982872","0.026883026584982872"
"25","0.0014651702949777246","0.0014651702949777246","0.0014651702949777246","0.0014704661443829536","0.0014704661443829536","0.0014704661443829536","0.0015692533925175667","0.0015692533925175667","0.0015692533925175667","0.00149897753726691","0.00149897753726691","0.00149897753726691","0.0014399783685803413","0.0014399783685803413","0.0014399783685803413","0.0016160383820533752","0.0016160383820533752","0.0016160383820533752","0.0014549704501405358","0.0014549704501405358","0.0014549704501405358","0.0015913541428744793","0.0015913541428744793","0.0015913541428744793","0.0014181650476530194","0.0014181650476530194","0.0014181650476530194","0.00138900859747082","0.00138900859747082","0.00138900859747082","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"28","0.0007324069738388062","0.0007324069738388062","0.0007324069738388062","0.0006863716407679021","0.0006863716407679021","0.0006863716407679021","0.0007382170879282057","0.0007382170879282057","0.0007382170879282057","0.0007617039373144507","0.0007617039373144507","0.0007617039373144507","0.0006579807377420366","0.0006579807377420366","0.0006579807377420366","0.0007342338794842362","0.0007342338794842362","0.0007342338794842362","0.0007254183292388916","0.0007254183292388916","0.0007254183292388916","0.0006706943386234343","0.0006706943386234343","0.0006706943386234343","0.0006337108789011836","0.0006337108789011836","0.0006337108789011836","0.0007030435372143984","0.0007030435372143984","0.0007030435372143984","0.015536461025476456","0.015536461025476456","0.015536461025476456","0.01569044403731823","0.01569044403731823","0.01569044403731823","0.015112419612705708","0.015112419612705708","0.015112419612705708","0.015261045657098293","0.015261045657098293","0.015261045657098293","0.014656937681138515","0.014656937681138515","0.014656937681138515","0.015631280839443207","0.015631280839443207","0.015631280839443207","0.015257174149155617","0.015257174149155617","0.015257174149155617","0.01580399088561535","0.01580399088561535","0.01580399088561535","0.015129984356462955","0.015129984356462955","0.015129984356462955","0.015929078683257103","0.015929078683257103","0.015929078683257103","0.012290457263588905","0.012290457263588905","0.012290457263588905","0.024666069075465202","0.024666069075465202","0.024666069075465202","0.011134181171655655","0.011134181171655655","0.011134181171655655","0.019390251487493515","0.019390251487493515","0.019390251487493515","0.017483379691839218","0.017483379691839218","0.017483379691839218","0.020903924480080605","0.020903924480080605","0.020903924480080605","0.01440485194325447","0.01440485194325447","0.01440485194325447","0.024203786626458168","0.024203786626458168","0.024203786626458168","0.015200152061879635","0.015200152061879635","0.015200152061879635","0.02518518641591072","0.02518518641591072","0.02518518641591072"
"31","0.0001999575470108539","0.0001999575470108539","0.0001999575470108539","0.00019595031335484236","0.00019595031335484236","0.00019595031335484236","0.00020765395311173052","0.00020765395311173052","0.00020765395311173052","0.00021085160551592708","0.00021085160551592708","0.00021085160551592708","0.00020786881214007735","0.00020786881214007735","0.00020786881214007735","0.00020598470291588455","0.00020598470291588455","0.00020598470291588455","0.0002169667714042589","0.0002169667714042589","0.0002169667714042589","0.0001922386873047799","0.0001922386873047799","0.0001922386873047799","0.00020656116248574108","0.00020656116248574108","0.00020656116248574108","0.00022391033417079598","0.00022391033417079598","0.00022391033417079598","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.014159902930259705","0.014159902930259705","0.014159902930259705","0.014932765625417233","0.014932765625417233","0.014932765625417233","0.015269709751009941","0.015269709751009941","0.015269709751009941","0.015343639999628067","0.015343639999628067","0.015343639999628067","0.013479990884661674","0.013479990884661674","0.013479990884661674","0.015413125045597553","0.015413125045597553","0.015413125045597553","0.016443733125925064","0.016443733125925064","0.016443733125925064","0.015533608384430408","0.015533608384430408","0.015533608384430408","0.013344082050025463","0.013344082050025463","0.013344082050025463","0.014874805696308613","0.014874805696308613","0.014874805696308613","0.01146615855395794","0.01146615855395794","0.01146615855395794","0.021311752498149872","0.021311752498149872","0.021311752498149872","0.011042269878089428","0.011042269878089428","0.011042269878089428","0.018846094608306885","0.018846094608306885","0.018846094608306885","0.016347207129001617","0.016347207129001617","0.016347207129001617","0.02034091390669346","0.02034091390669346","0.02034091390669346","0.01633446104824543","0.01633446104824543","0.01633446104824543","0.02172296866774559","0.02172296866774559","0.02172296866774559","0.013796784915030003","0.013796784915030003","0.013796784915030003","0.026413600891828537","0.026413600891828537","0.026413600891828537"
"36","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.015943314880132675","0.015943314880132675","0.015943314880132675","0.015255178324878216","0.015255178324878216","0.015255178324878216","0.014269997365772724","0.014269997365772724","0.014269997365772724","0.01599220745265484","0.01599220745265484","0.01599220745265484","0.014576740562915802","0.014576740562915802","0.014576740562915802","0.013636438176035881","0.013636438176035881","0.013636438176035881","0.016230585053563118","0.016230585053563118","0.016230585053563118","0.014670159667730331","0.014670159667730331","0.014670159667730331","0.016756277531385422","0.016756277531385422","0.016756277531385422","0.014525411650538445","0.014525411650538445","0.014525411650538445","0.010509566403925419","0.010509566403925419","0.010509566403925419","0.019799739122390747","0.019799739122390747","0.019799739122390747","0.010861356742680073","0.010861356742680073","0.010861356742680073","0.01677827164530754","0.01677827164530754","0.01677827164530754","0.013587350957095623","0.013587350957095623","0.013587350957095623","0.02076730690896511","0.02076730690896511","0.02076730690896511","0.014314393512904644","0.014314393512904644","0.014314393512904644","0.02114565297961235","0.02114565297961235","0.02114565297961235","0.014080807566642761","0.014080807566642761","0.014080807566642761","0.025222329422831535","0.025222329422831535","0.025222329422831535"
"40","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.014935570769011974","0.014935570769011974","0.014935570769011974","0.014911624602973461","0.014911624602973461","0.014911624602973461","0.014461144804954529","0.014461144804954529","0.014461144804954529","0.014844677411019802","0.014844677411019802","0.014844677411019802","0.015362730249762535","0.015362730249762535","0.015362730249762535","0.01837889850139618","0.01837889850139618","0.01837889850139618","0.014899564906954765","0.014899564906954765","0.014899564906954765","0.014877384528517723","0.014877384528517723","0.014877384528517723","0.014785371720790863","0.014785371720790863","0.014785371720790863","0.015199597924947739","0.015199597924947739","0.015199597924947739","0.011865879409015179","0.011865879409015179","0.011865879409015179","0.01839733123779297","0.01839733123779297","0.01839733123779297","0.012492738664150238","0.012492738664150238","0.012492738664150238","0.014677444472908974","0.014677444472908974","0.014677444472908974","0.016815178096294403","0.016815178096294403","0.016815178096294403","0.018002640455961227","0.018002640455961227","0.018002640455961227","0.017195293679833412","0.017195293679833412","0.017195293679833412","0.01682637445628643","0.01682637445628643","0.01682637445628643","0.012825265526771545","0.012825265526771545","0.012825265526771545","0.021950427442789078","0.021950427442789078","0.021950427442789078"