"Step","resilient-sweep-10 - l2_loss_track","resilient-sweep-10 - l2_loss_track__MIN","resilient-sweep-10 - l2_loss_track__MAX","misunderstood-sweep-9 - l2_loss_track","misunderstood-sweep-9 - l2_loss_track__MIN","misunderstood-sweep-9 - l2_loss_track__MAX","morning-sweep-8 - l2_loss_track","morning-sweep-8 - l2_loss_track__MIN","morning-sweep-8 - l2_loss_track__MAX","classic-sweep-7 - l2_loss_track","classic-sweep-7 - l2_loss_track__MIN","classic-sweep-7 - l2_loss_track__MAX","fine-sweep-6 - l2_loss_track","fine-sweep-6 - l2_loss_track__MIN","fine-sweep-6 - l2_loss_track__MAX","ethereal-sweep-5 - l2_loss_track","ethereal-sweep-5 - l2_loss_track__MIN","ethereal-sweep-5 - l2_loss_track__MAX","amber-sweep-4 - l2_loss_track","amber-sweep-4 - l2_loss_track__MIN","amber-sweep-4 - l2_loss_track__MAX","peach-sweep-3 - l2_loss_track","peach-sweep-3 - l2_loss_track__MIN","peach-sweep-3 - l2_loss_track__MAX","driven-sweep-2 - l2_loss_track","driven-sweep-2 - l2_loss_track__MIN","driven-sweep-2 - l2_loss_track__MAX","rich-sweep-1 - l2_loss_track","rich-sweep-1 - l2_loss_track__MIN","rich-sweep-1 - l2_loss_track__MAX"
"1","0.62690269947052","0.62690269947052","0.62690269947052","0.6286992430686951","0.6286992430686951","0.6286992430686951","0.6231005787849426","0.6231005787849426","0.6231005787849426","0.63228839635849","0.63228839635849","0.63228839635849","0.6318591237068176","0.6318591237068176","0.6318591237068176","0.62797611951828","0.62797611951828","0.62797611951828","0.6202132701873779","0.6202132701873779","0.6202132701873779","0.6237216591835022","0.6237216591835022","0.6237216591835022","0.627275288105011","0.627275288105011","0.627275288105011","0.6282341480255127","0.6282341480255127","0.6282341480255127"
"6","0.5198903679847717","0.5198903679847717","0.5198903679847717","0.5186932682991028","0.5186932682991028","0.5186932682991028","0.4611075520515442","0.4611075520515442","0.4611075520515442","0.6176693439483643","0.6176693439483643","0.6176693439483643","0.5205620527267456","0.5205620527267456","0.5205620527267456","0.5840931534767151","0.5840931534767151","0.5840931534767151","0.4943322539329529","0.4943322539329529","0.4943322539329529","0.5416631698608398","0.5416631698608398","0.5416631698608398","0.5324995517730713","0.5324995517730713","0.5324995517730713","0.532737135887146","0.532737135887146","0.532737135887146"
"11","0.4193950295448303","0.4193950295448303","0.4193950295448303","0.4256690740585327","0.4256690740585327","0.4256690740585327","0.4072578251361847","0.4072578251361847","0.4072578251361847","0.555370032787323","0.555370032787323","0.555370032787323","0.4481232166290283","0.4481232166290283","0.4481232166290283","0.4820147752761841","0.4820147752761841","0.4820147752761841","0.4574663043022156","0.4574663043022156","0.4574663043022156","0.42635929584503174","0.42635929584503174","0.42635929584503174","0.4137168228626251","0.4137168228626251","0.4137168228626251","0.42214909195899963","0.42214909195899963","0.42214909195899963"
"16","0.33162936568260193","0.33162936568260193","0.33162936568260193","0.37419524788856506","0.37419524788856506","0.37419524788856506","0.3111425042152405","0.3111425042152405","0.3111425042152405","0.4654078483581543","0.4654078483581543","0.4654078483581543","0.34977346658706665","0.34977346658706665","0.34977346658706665","0.43606898188591003","0.43606898188591003","0.43606898188591003","0.41996949911117554","0.41996949911117554","0.41996949911117554","0.3246789276599884","0.3246789276599884","0.3246789276599884","0.36818727850914","0.36818727850914","0.36818727850914","0.39753833413124084","0.39753833413124084","0.39753833413124084"
"21","0.26641646027565","0.26641646027565","0.26641646027565","0.3314419686794281","0.3314419686794281","0.3314419686794281","0.23391208052635193","0.23391208052635193","0.23391208052635193","0.39129388332366943","0.39129388332366943","0.39129388332366943","0.28148677945137024","0.28148677945137024","0.28148677945137024","0.37577056884765625","0.37577056884765625","0.37577056884765625","0.392026424407959","0.392026424407959","0.392026424407959","0.2690117061138153","0.2690117061138153","0.2690117061138153","0.28365039825439453","0.28365039825439453","0.28365039825439453","0.32684293389320374","0.32684293389320374","0.32684293389320374"
"26","0.22799889743328094","0.22799889743328094","0.22799889743328094","0.25631535053253174","0.25631535053253174","0.25631535053253174","0.2002081423997879","0.2002081423997879","0.2002081423997879","0.3352387249469757","0.3352387249469757","0.3352387249469757","0.21385978162288666","0.21385978162288666","0.21385978162288666","0.3409666121006012","0.3409666121006012","0.3409666121006012","0.3052838444709778","0.3052838444709778","0.3052838444709778","0.22802048921585083","0.22802048921585083","0.22802048921585083","0.24088995158672333","0.24088995158672333","0.24088995158672333","0.23785871267318726","0.23785871267318726","0.23785871267318726"
"31","0.2222789078950882","0.2222789078950882","0.2222789078950882","0.23665162920951843","0.23665162920951843","0.23665162920951843","0.14576353132724762","0.14576353132724762","0.14576353132724762","0.2651852071285248","0.2651852071285248","0.2651852071285248","0.17768076062202454","0.17768076062202454","0.17768076062202454","0.31923550367355347","0.31923550367355347","0.31923550367355347","0.23055118322372437","0.23055118322372437","0.23055118322372437","0.21800705790519714","0.21800705790519714","0.21800705790519714","0.21954786777496338","0.21954786777496338","0.21954786777496338","0.17649973928928375","0.17649973928928375","0.17649973928928375"
"36","0.20515263080596924","0.20515263080596924","0.20515263080596924","0.2319842278957367","0.2319842278957367","0.2319842278957367","0.1264542043209076","0.1264542043209076","0.1264542043209076","0.21488697826862335","0.21488697826862335","0.21488697826862335","0.1348600685596466","0.1348600685596466","0.1348600685596466","0.2879774272441864","0.2879774272441864","0.2879774272441864","0.18400318920612335","0.18400318920612335","0.18400318920612335","0.18998238444328308","0.18998238444328308","0.18998238444328308","0.17718903720378876","0.17718903720378876","0.17718903720378876","0.14363189041614532","0.14363189041614532","0.14363189041614532"
"41","0.16351886093616486","0.16351886093616486","0.16351886093616486","0.18835251033306122","0.18835251033306122","0.18835251033306122","0.11142510175704956","0.11142510175704956","0.11142510175704956","0.19499893486499786","0.19499893486499786","0.19499893486499786","0.12082970142364502","0.12082970142364502","0.12082970142364502","0.19280052185058594","0.19280052185058594","0.19280052185058594","0.1664639115333557","0.1664639115333557","0.1664639115333557","0.15724074840545654","0.15724074840545654","0.15724074840545654","0.15698371827602386","0.15698371827602386","0.15698371827602386","0.12510177493095398","0.12510177493095398","0.12510177493095398"
"46","0.13518494367599487","0.13518494367599487","0.13518494367599487","0.17073595523834229","0.17073595523834229","0.17073595523834229","0.10576051473617554","0.10576051473617554","0.10576051473617554","0.16085928678512573","0.16085928678512573","0.16085928678512573","0.10684439539909363","0.10684439539909363","0.10684439539909363","0.16704629361629486","0.16704629361629486","0.16704629361629486","0.15171848237514496","0.15171848237514496","0.15171848237514496","0.12787169218063354","0.12787169218063354","0.12787169218063354","0.13458292186260223","0.13458292186260223","0.13458292186260223","0.10045021772384644","0.10045021772384644","0.10045021772384644"
"51","0.11638101935386658","0.11638101935386658","0.11638101935386658","0.12552878260612488","0.12552878260612488","0.12552878260612488","0.10382391512393951","0.10382391512393951","0.10382391512393951","0.13640084862709045","0.13640084862709045","0.13640084862709045","0.10643941164016724","0.10643941164016724","0.10643941164016724","0.13881726562976837","0.13881726562976837","0.13881726562976837","0.11605250835418701","0.11605250835418701","0.11605250835418701","0.1184082180261612","0.1184082180261612","0.1184082180261612","0.11875918507575989","0.11875918507575989","0.11875918507575989","0.09137633442878723","0.09137633442878723","0.09137633442878723"