"Step","resilient-sweep-10 - var_square_loss_track","resilient-sweep-10 - var_square_loss_track__MIN","resilient-sweep-10 - var_square_loss_track__MAX","misunderstood-sweep-9 - var_square_loss_track","misunderstood-sweep-9 - var_square_loss_track__MIN","misunderstood-sweep-9 - var_square_loss_track__MAX","morning-sweep-8 - var_square_loss_track","morning-sweep-8 - var_square_loss_track__MIN","morning-sweep-8 - var_square_loss_track__MAX","classic-sweep-7 - var_square_loss_track","classic-sweep-7 - var_square_loss_track__MIN","classic-sweep-7 - var_square_loss_track__MAX","fine-sweep-6 - var_square_loss_track","fine-sweep-6 - var_square_loss_track__MIN","fine-sweep-6 - var_square_loss_track__MAX","ethereal-sweep-5 - var_square_loss_track","ethereal-sweep-5 - var_square_loss_track__MIN","ethereal-sweep-5 - var_square_loss_track__MAX","amber-sweep-4 - var_square_loss_track","amber-sweep-4 - var_square_loss_track__MIN","amber-sweep-4 - var_square_loss_track__MAX","peach-sweep-3 - var_square_loss_track","peach-sweep-3 - var_square_loss_track__MIN","peach-sweep-3 - var_square_loss_track__MAX","driven-sweep-2 - var_square_loss_track","driven-sweep-2 - var_square_loss_track__MIN","driven-sweep-2 - var_square_loss_track__MAX","rich-sweep-1 - var_square_loss_track","rich-sweep-1 - var_square_loss_track__MIN","rich-sweep-1 - var_square_loss_track__MAX"
"1","0.03626729175448418","0.03626729175448418","0.03626729175448418","0.038416702300310135","0.038416702300310135","0.038416702300310135","0.03793390467762947","0.03793390467762947","0.03793390467762947","0.041317373514175415","0.041317373514175415","0.041317373514175415","0.04461631178855896","0.04461631178855896","0.04461631178855896","0.039310429245233536","0.039310429245233536","0.039310429245233536","0.0369819700717926","0.0369819700717926","0.0369819700717926","0.037805601954460144","0.037805601954460144","0.037805601954460144","0.03696875274181366","0.03696875274181366","0.03696875274181366","0.03612441197037697","0.03612441197037697","0.03612441197037697"
"6","0.02701338194310665","0.02701338194310665","0.02701338194310665","0.026060350239276886","0.026060350239276886","0.026060350239276886","0.022736025974154472","0.022736025974154472","0.022736025974154472","0.039647117257118225","0.039647117257118225","0.039647117257118225","0.025431059300899506","0.025431059300899506","0.025431059300899506","0.03808465600013733","0.03808465600013733","0.03808465600013733","0.025888849049806595","0.025888849049806595","0.025888849049806595","0.028456268832087517","0.028456268832087517","0.028456268832087517","0.02935531921684742","0.02935531921684742","0.02935531921684742","0.030098004266619682","0.030098004266619682","0.030098004266619682"
"11","0.017468290403485298","0.017468290403485298","0.017468290403485298","0.018534217029809952","0.018534217029809952","0.018534217029809952","0.019334184005856514","0.019334184005856514","0.019334184005856514","0.033353645354509354","0.033353645354509354","0.033353645354509354","0.02058618701994419","0.02058618701994419","0.02058618701994419","0.02666138857603073","0.02666138857603073","0.02666138857603073","0.024138962849974632","0.024138962849974632","0.024138962849974632","0.018554434180259705","0.018554434180259705","0.018554434180259705","0.0169577207416296","0.0169577207416296","0.0169577207416296","0.0200513806194067","0.0200513806194067","0.0200513806194067"
"16","0.010695535689592361","0.010695535689592361","0.010695535689592361","0.01507041696459055","0.01507041696459055","0.01507041696459055","0.010664626955986023","0.010664626955986023","0.010664626955986023","0.02217460796236992","0.02217460796236992","0.02217460796236992","0.01251454371958971","0.01251454371958971","0.01251454371958971","0.02197708748281002","0.02197708748281002","0.02197708748281002","0.020814601331949234","0.020814601331949234","0.020814601331949234","0.010175308212637901","0.010175308212637901","0.010175308212637901","0.013398651033639908","0.013398651033639908","0.013398651033639908","0.01957990974187851","0.01957990974187851","0.01957990974187851"
"21","0.008574062958359718","0.008574062958359718","0.008574062958359718","0.011082862503826618","0.011082862503826618","0.011082862503826618","0.005431754980236292","0.005431754980236292","0.005431754980236292","0.01594962179660797","0.01594962179660797","0.01594962179660797","0.00821125227957964","0.00821125227957964","0.00821125227957964","0.015064147301018238","0.015064147301018238","0.015064147301018238","0.01834111288189888","0.01834111288189888","0.01834111288189888","0.006796315312385559","0.006796315312385559","0.006796315312385559","0.00786555279046297","0.00786555279046297","0.00786555279046297","0.012758876197040081","0.012758876197040081","0.012758876197040081"
"26","0.005574228707700968","0.005574228707700968","0.005574228707700968","0.00719807855784893","0.00719807855784893","0.00719807855784893","0.004933851305395365","0.004933851305395365","0.004933851305395365","0.012166054919362068","0.012166054919362068","0.012166054919362068","0.0044633569195866585","0.0044633569195866585","0.0044633569195866585","0.011655976064503193","0.011655976064503193","0.011655976064503193","0.012001467868685722","0.012001467868685722","0.012001467868685722","0.004328912124037743","0.004328912124037743","0.004328912124037743","0.005827969405800104","0.005827969405800104","0.005827969405800104","0.006312759127467871","0.006312759127467871","0.006312759127467871"
"31","0.005098029505461454","0.005098029505461454","0.005098029505461454","0.006787274498492479","0.006787274498492479","0.006787274498492479","0.0018932184902951121","0.0018932184902951121","0.0018932184902951121","0.00728913489729166","0.00728913489729166","0.00728913489729166","0.0027598119340837","0.0027598119340837","0.0027598119340837","0.010165930725634098","0.010165930725634098","0.010165930725634098","0.005737259518355131","0.005737259518355131","0.005737259518355131","0.004298686981201172","0.004298686981201172","0.004298686981201172","0.004307101015001535","0.004307101015001535","0.004307101015001535","0.0028579740319401026","0.0028579740319401026","0.0028579740319401026"
"36","0.0050513423047959805","0.0050513423047959805","0.0050513423047959805","0.00654395530000329","0.00654395530000329","0.00654395530000329","0.001111903926357627","0.001111903926357627","0.001111903926357627","0.004131321329623461","0.004131321329623461","0.004131321329623461","0.0013053304282948375","0.0013053304282948375","0.0013053304282948375","0.008687203750014305","0.008687203750014305","0.008687203750014305","0.003772227792069316","0.003772227792069316","0.003772227792069316","0.0032496510539203882","0.0032496510539203882","0.0032496510539203882","0.002932199276983738","0.002932199276983738","0.002932199276983738","0.0016483651706948876","0.0016483651706948876","0.0016483651706948876"
"41","0.0027066476177424192","0.0027066476177424192","0.0027066476177424192","0.003940640948712826","0.003940640948712826","0.003940640948712826","0.0007072146399877965","0.0007072146399877965","0.0007072146399877965","0.003859478048980236","0.003859478048980236","0.003859478048980236","0.0009089122759178281","0.0009089122759178281","0.0009089122759178281","0.004155844449996948","0.004155844449996948","0.004155844449996948","0.002945868531242013","0.002945868531242013","0.002945868531242013","0.001958465436473489","0.001958465436473489","0.001958465436473489","0.002607707865536213","0.002607707865536213","0.002607707865536213","0.0011663008481264114","0.0011663008481264114","0.0011663008481264114"
"46","0.0014914395287632942","0.0014914395287632942","0.0014914395287632942","0.003273461712524295","0.003273461712524295","0.003273461712524295","0.0006467134226113558","0.0006467134226113558","0.0006467134226113558","0.0024563309270888567","0.0024563309270888567","0.0024563309270888567","0.0006036174017935991","0.0006036174017935991","0.0006036174017935991","0.0030786970164626837","0.0030786970164626837","0.0030786970164626837","0.0030084894970059395","0.0030084894970059395","0.0030084894970059395","0.0012475147377699614","0.0012475147377699614","0.0012475147377699614","0.0015339499805122614","0.0015339499805122614","0.0015339499805122614","0.0006064486224204302","0.0006064486224204302","0.0006064486224204302"
"51","0.000885061570443213","0.000885061570443213","0.000885061570443213","0.0015760739333927631","0.0015760739333927631","0.0015760739333927631","0.0006522235344164073","0.0006522235344164073","0.0006522235344164073","0.0018171019619330764","0.0018171019619330764","0.0018171019619330764","0.0007191983750090003","0.0007191983750090003","0.0007191983750090003","0.0018092612735927105","0.0018092612735927105","0.0018092612735927105","0.001302833203226328","0.001302833203226328","0.001302833203226328","0.0010708322515711188","0.0010708322515711188","0.0010708322515711188","0.0009712323662824929","0.0009712323662824929","0.0009712323662824929","0.0004873350262641907","0.0004873350262641907","0.0004873350262641907"