"Step","charmed-sweep-30 - l2_loss_track","charmed-sweep-30 - l2_loss_track__MIN","charmed-sweep-30 - l2_loss_track__MAX","hardy-sweep-29 - l2_loss_track","hardy-sweep-29 - l2_loss_track__MIN","hardy-sweep-29 - l2_loss_track__MAX","twilight-sweep-28 - l2_loss_track","twilight-sweep-28 - l2_loss_track__MIN","twilight-sweep-28 - l2_loss_track__MAX","bright-sweep-27 - l2_loss_track","bright-sweep-27 - l2_loss_track__MIN","bright-sweep-27 - l2_loss_track__MAX","quiet-sweep-26 - l2_loss_track","quiet-sweep-26 - l2_loss_track__MIN","quiet-sweep-26 - l2_loss_track__MAX","classic-sweep-25 - l2_loss_track","classic-sweep-25 - l2_loss_track__MIN","classic-sweep-25 - l2_loss_track__MAX","effortless-sweep-24 - l2_loss_track","effortless-sweep-24 - l2_loss_track__MIN","effortless-sweep-24 - l2_loss_track__MAX","vague-sweep-23 - l2_loss_track","vague-sweep-23 - l2_loss_track__MIN","vague-sweep-23 - l2_loss_track__MAX","chocolate-sweep-22 - l2_loss_track","chocolate-sweep-22 - l2_loss_track__MIN","chocolate-sweep-22 - l2_loss_track__MAX","gentle-sweep-21 - l2_loss_track","gentle-sweep-21 - l2_loss_track__MIN","gentle-sweep-21 - l2_loss_track__MAX","neat-sweep-20 - l2_loss_track","neat-sweep-20 - l2_loss_track__MIN","neat-sweep-20 - l2_loss_track__MAX","pious-sweep-19 - l2_loss_track","pious-sweep-19 - l2_loss_track__MIN","pious-sweep-19 - l2_loss_track__MAX","rose-sweep-18 - l2_loss_track","rose-sweep-18 - l2_loss_track__MIN","rose-sweep-18 - l2_loss_track__MAX","vocal-sweep-17 - l2_loss_track","vocal-sweep-17 - l2_loss_track__MIN","vocal-sweep-17 - l2_loss_track__MAX","fluent-sweep-16 - l2_loss_track","fluent-sweep-16 - l2_loss_track__MIN","fluent-sweep-16 - l2_loss_track__MAX","magic-sweep-15 - l2_loss_track","magic-sweep-15 - l2_loss_track__MIN","magic-sweep-15 - l2_loss_track__MAX","treasured-sweep-14 - l2_loss_track","treasured-sweep-14 - l2_loss_track__MIN","treasured-sweep-14 - l2_loss_track__MAX","wobbly-sweep-13 - l2_loss_track","wobbly-sweep-13 - l2_loss_track__MIN","wobbly-sweep-13 - l2_loss_track__MAX","vague-sweep-12 - l2_loss_track","vague-sweep-12 - l2_loss_track__MIN","vague-sweep-12 - l2_loss_track__MAX","deft-sweep-11 - l2_loss_track","deft-sweep-11 - l2_loss_track__MIN","deft-sweep-11 - l2_loss_track__MAX","frosty-sweep-10 - l2_loss_track","frosty-sweep-10 - l2_loss_track__MIN","frosty-sweep-10 - l2_loss_track__MAX","vague-sweep-9 - l2_loss_track","vague-sweep-9 - l2_loss_track__MIN","vague-sweep-9 - l2_loss_track__MAX","lyric-sweep-8 - l2_loss_track","lyric-sweep-8 - l2_loss_track__MIN","lyric-sweep-8 - l2_loss_track__MAX","brisk-sweep-7 - l2_loss_track","brisk-sweep-7 - l2_loss_track__MIN","brisk-sweep-7 - l2_loss_track__MAX","hopeful-sweep-6 - l2_loss_track","hopeful-sweep-6 - l2_loss_track__MIN","hopeful-sweep-6 - l2_loss_track__MAX","pretty-sweep-5 - l2_loss_track","pretty-sweep-5 - l2_loss_track__MIN","pretty-sweep-5 - l2_loss_track__MAX","giddy-sweep-4 - l2_loss_track","giddy-sweep-4 - l2_loss_track__MIN","giddy-sweep-4 - l2_loss_track__MAX","vocal-sweep-3 - l2_loss_track","vocal-sweep-3 - l2_loss_track__MIN","vocal-sweep-3 - l2_loss_track__MAX","iconic-sweep-2 - l2_loss_track","iconic-sweep-2 - l2_loss_track__MIN","iconic-sweep-2 - l2_loss_track__MAX","pious-sweep-1 - l2_loss_track","pious-sweep-1 - l2_loss_track__MIN","pious-sweep-1 - l2_loss_track__MAX"
"0","0.92469322681427","0.92469322681427","0.92469322681427","0.9259551167488098","0.9259551167488098","0.9259551167488098","0.9281948208808899","0.9281948208808899","0.9281948208808899","0.9295525550842285","0.9295525550842285","0.9295525550842285","0.9252789616584778","0.9252789616584778","0.9252789616584778","0.9198039174079895","0.9198039174079895","0.9198039174079895","0.9228962659835815","0.9228962659835815","0.9228962659835815","0.9227792620658875","0.9227792620658875","0.9227792620658875","0.9235143661499023","0.9235143661499023","0.9235143661499023","0.9255860447883606","0.9255860447883606","0.9255860447883606","0.92469322681427","0.92469322681427","0.92469322681427","0.9259551167488098","0.9259551167488098","0.9259551167488098","0.9281948208808899","0.9281948208808899","0.9281948208808899","0.9295525550842285","0.9295525550842285","0.9295525550842285","0.9252789616584778","0.9252789616584778","0.9252789616584778","0.9198039174079895","0.9198039174079895","0.9198039174079895","0.9228962659835815","0.9228962659835815","0.9228962659835815","0.9227792620658875","0.9227792620658875","0.9227792620658875","0.9235143661499023","0.9235143661499023","0.9235143661499023","0.9255860447883606","0.9255860447883606","0.9255860447883606","0.92469322681427","0.92469322681427","0.92469322681427","0.9259551167488098","0.9259551167488098","0.9259551167488098","0.9281948208808899","0.9281948208808899","0.9281948208808899","0.9295525550842285","0.9295525550842285","0.9295525550842285","0.9252789616584778","0.9252789616584778","0.9252789616584778","0.9198039174079895","0.9198039174079895","0.9198039174079895","0.9228962659835815","0.9228962659835815","0.9228962659835815","0.9227792620658875","0.9227792620658875","0.9227792620658875","0.9235143661499023","0.9235143661499023","0.9235143661499023","0.9255860447883606","0.9255860447883606","0.9255860447883606"
"1","0.9233016967773438","0.9233016967773438","0.9233016967773438","0.9256999492645264","0.9256999492645264","0.9256999492645264","0.9203248023986816","0.9203248023986816","0.9203248023986816","0.9199051856994629","0.9199051856994629","0.9199051856994629","0.9293205738067627","0.9293205738067627","0.9293205738067627","0.9259378910064697","0.9259378910064697","0.9259378910064697","0.9256362318992615","0.9256362318992615","0.9256362318992615","0.9239596724510193","0.9239596724510193","0.9239596724510193","0.9241853356361389","0.9241853356361389","0.9241853356361389","0.9229057431221008","0.9229057431221008","0.9229057431221008","0.9280914068222046","0.9280914068222046","0.9280914068222046","0.9232784509658813","0.9232784509658813","0.9232784509658813","0.9226238131523132","0.9226238131523132","0.9226238131523132","0.922654390335083","0.922654390335083","0.922654390335083","0.9307774305343628","0.9307774305343628","0.9307774305343628","0.9201436042785645","0.9201436042785645","0.9201436042785645","0.9233768582344055","0.9233768582344055","0.9233768582344055","0.9221224188804626","0.9221224188804626","0.9221224188804626","0.9204221963882446","0.9204221963882446","0.9204221963882446","0.9235408902168274","0.9235408902168274","0.9235408902168274","0.9205281138420105","0.9205281138420105","0.9205281138420105","0.9141916036605835","0.9141916036605835","0.9141916036605835","0.9063146710395813","0.9063146710395813","0.9063146710395813","0.9013403654098511","0.9013403654098511","0.9013403654098511","0.9151182770729065","0.9151182770729065","0.9151182770729065","0.9077711701393127","0.9077711701393127","0.9077711701393127","0.916412889957428","0.916412889957428","0.916412889957428","0.9118696451187134","0.9118696451187134","0.9118696451187134","0.9119989275932312","0.9119989275932312","0.9119989275932312","0.9218917489051819","0.9218917489051819","0.9218917489051819"
"2","0.9270654916763306","0.9270654916763306","0.9270654916763306","0.9244716763496399","0.9244716763496399","0.9244716763496399","0.9228277802467346","0.9228277802467346","0.9228277802467346","0.9275645613670349","0.9275645613670349","0.9275645613670349","0.9182162284851074","0.9182162284851074","0.9182162284851074","0.9269394278526306","0.9269394278526306","0.9269394278526306","0.9253446459770203","0.9253446459770203","0.9253446459770203","0.9265709519386292","0.9265709519386292","0.9265709519386292","0.922074019908905","0.922074019908905","0.922074019908905","0.9271289706230164","0.9271289706230164","0.9271289706230164","0.9244856834411621","0.9244856834411621","0.9244856834411621","0.9253115653991699","0.9253115653991699","0.9253115653991699","0.9246216416358948","0.9246216416358948","0.9246216416358948","0.9231293797492981","0.9231293797492981","0.9231293797492981","0.9239380359649658","0.9239380359649658","0.9239380359649658","0.9248872995376587","0.9248872995376587","0.9248872995376587","0.9222564101219177","0.9222564101219177","0.9222564101219177","0.9232056140899658","0.9232056140899658","0.9232056140899658","0.9242567420005798","0.9242567420005798","0.9242567420005798","0.9219148755073547","0.9219148755073547","0.9219148755073547","0.9169067740440369","0.9169067740440369","0.9169067740440369","0.9089995622634888","0.9089995622634888","0.9089995622634888","0.9072748422622681","0.9072748422622681","0.9072748422622681","0.8919525146484375","0.8919525146484375","0.8919525146484375","0.905962347984314","0.905962347984314","0.905962347984314","0.9079296588897705","0.9079296588897705","0.9079296588897705","0.9085239768028259","0.9085239768028259","0.9085239768028259","0.9030590057373047","0.9030590057373047","0.9030590057373047","0.911087155342102","0.911087155342102","0.911087155342102","0.9145132303237915","0.9145132303237915","0.9145132303237915"
"3","0.9232873320579529","0.9232873320579529","0.9232873320579529","0.9292717576026917","0.9292717576026917","0.9292717576026917","0.9222375750541687","0.9222375750541687","0.9222375750541687","0.9225045442581177","0.9225045442581177","0.9225045442581177","0.9247869849205017","0.9247869849205017","0.9247869849205017","0.9212327003479004","0.9212327003479004","0.9212327003479004","0.9243860840797424","0.9243860840797424","0.9243860840797424","0.922252893447876","0.922252893447876","0.922252893447876","0.9219747185707092","0.9219747185707092","0.9219747185707092","0.9248307347297668","0.9248307347297668","0.9248307347297668","0.9217417240142822","0.9217417240142822","0.9217417240142822","0.9317846894264221","0.9317846894264221","0.9317846894264221","0.9238747954368591","0.9238747954368591","0.9238747954368591","0.9197826385498047","0.9197826385498047","0.9197826385498047","0.9242647886276245","0.9242647886276245","0.9242647886276245","0.9197214245796204","0.9197214245796204","0.9197214245796204","0.9233965873718262","0.9233965873718262","0.9233965873718262","0.9284557104110718","0.9284557104110718","0.9284557104110718","0.9229088425636292","0.9229088425636292","0.9229088425636292","0.9218803644180298","0.9218803644180298","0.9218803644180298","0.9074450135231018","0.9074450135231018","0.9074450135231018","0.9051888585090637","0.9051888585090637","0.9051888585090637","0.9020417332649231","0.9020417332649231","0.9020417332649231","0.8842853307723999","0.8842853307723999","0.8842853307723999","0.898688793182373","0.898688793182373","0.898688793182373","0.8858142495155334","0.8858142495155334","0.8858142495155334","0.9083316326141357","0.9083316326141357","0.9083316326141357","0.9059919714927673","0.9059919714927673","0.9059919714927673","0.9050907492637634","0.9050907492637634","0.9050907492637634","0.9119064807891846","0.9119064807891846","0.9119064807891846"
"4","0.9221056699752808","0.9221056699752808","0.9221056699752808","0.9265581965446472","0.9265581965446472","0.9265581965446472","0.9243733286857605","0.9243733286857605","0.9243733286857605","0.9249700307846069","0.9249700307846069","0.9249700307846069","0.9235533475875854","0.9235533475875854","0.9235533475875854","0.9195899963378906","0.9195899963378906","0.9195899963378906","0.9229259490966797","0.9229259490966797","0.9229259490966797","0.9226090908050537","0.9226090908050537","0.9226090908050537","0.917759895324707","0.917759895324707","0.917759895324707","0.9295654892921448","0.9295654892921448","0.9295654892921448","0.9258025288581848","0.9258025288581848","0.9258025288581848","0.9232662320137024","0.9232662320137024","0.9232662320137024","0.9246583580970764","0.9246583580970764","0.9246583580970764","0.9202392101287842","0.9202392101287842","0.9202392101287842","0.9261656403541565","0.9261656403541565","0.9261656403541565","0.9235131740570068","0.9235131740570068","0.9235131740570068","0.9265782237052917","0.9265782237052917","0.9265782237052917","0.9259145259857178","0.9259145259857178","0.9259145259857178","0.9158084392547607","0.9158084392547607","0.9158084392547607","0.9265776872634888","0.9265776872634888","0.9265776872634888","0.9066720604896545","0.9066720604896545","0.9066720604896545","0.8792576193809509","0.8792576193809509","0.8792576193809509","0.9003582000732422","0.9003582000732422","0.9003582000732422","0.876478374004364","0.876478374004364","0.876478374004364","0.8956999182701111","0.8956999182701111","0.8956999182701111","0.885259211063385","0.885259211063385","0.885259211063385","0.9021211266517639","0.9021211266517639","0.9021211266517639","0.8989210724830627","0.8989210724830627","0.8989210724830627","0.8817433714866638","0.8817433714866638","0.8817433714866638","0.9103975296020508","0.9103975296020508","0.9103975296020508"
"5","0.9239253401756287","0.9239253401756287","0.9239253401756287","0.9257204532623291","0.9257204532623291","0.9257204532623291","0.9242146015167236","0.9242146015167236","0.9242146015167236","0.9229525327682495","0.9229525327682495","0.9229525327682495","0.9199143052101135","0.9199143052101135","0.9199143052101135","0.9207298159599304","0.9207298159599304","0.9207298159599304","0.9224257469177246","0.9224257469177246","0.9224257469177246","0.9209890365600586","0.9209890365600586","0.9209890365600586","0.920783519744873","0.920783519744873","0.920783519744873","0.9206476807594299","0.9206476807594299","0.9206476807594299","0.921654224395752","0.921654224395752","0.921654224395752","0.9283294677734375","0.9283294677734375","0.9283294677734375","0.9214223027229309","0.9214223027229309","0.9214223027229309","0.9187942743301392","0.9187942743301392","0.9187942743301392","0.9241416454315186","0.9241416454315186","0.9241416454315186","0.923009991645813","0.923009991645813","0.923009991645813","0.917765736579895","0.917765736579895","0.917765736579895","0.9161489009857178","0.9161489009857178","0.9161489009857178","0.9256249070167542","0.9256249070167542","0.9256249070167542","0.9203883409500122","0.9203883409500122","0.9203883409500122","0.89749675989151","0.89749675989151","0.89749675989151","0.8664114475250244","0.8664114475250244","0.8664114475250244","0.8941048979759216","0.8941048979759216","0.8941048979759216","0.8734858632087708","0.8734858632087708","0.8734858632087708","0.8910110592842102","0.8910110592842102","0.8910110592842102","0.8762998580932617","0.8762998580932617","0.8762998580932617","0.8831036686897278","0.8831036686897278","0.8831036686897278","0.8765829205513","0.8765829205513","0.8765829205513","0.887531578540802","0.887531578540802","0.887531578540802","0.8932331800460815","0.8932331800460815","0.8932331800460815"
"6","0.9206744432449341","0.9206744432449341","0.9206744432449341","0.9225730299949646","0.9225730299949646","0.9225730299949646","0.9217668175697327","0.9217668175697327","0.9217668175697327","0.9219114184379578","0.9219114184379578","0.9219114184379578","0.9257311224937439","0.9257311224937439","0.9257311224937439","0.923526406288147","0.923526406288147","0.923526406288147","0.9203149676322937","0.9203149676322937","0.9203149676322937","0.9220318794250488","0.9220318794250488","0.9220318794250488","0.9208459854125977","0.9208459854125977","0.9208459854125977","0.9241988658905029","0.9241988658905029","0.9241988658905029","0.9225846529006958","0.9225846529006958","0.9225846529006958","0.9209417700767517","0.9209417700767517","0.9209417700767517","0.9200727939605713","0.9200727939605713","0.9200727939605713","0.9214217066764832","0.9214217066764832","0.9214217066764832","0.919407069683075","0.919407069683075","0.919407069683075","0.9216994643211365","0.9216994643211365","0.9216994643211365","0.9230985641479492","0.9230985641479492","0.9230985641479492","0.9241384863853455","0.9241384863853455","0.9241384863853455","0.9221156239509583","0.9221156239509583","0.9221156239509583","0.9170964360237122","0.9170964360237122","0.9170964360237122","0.891685426235199","0.891685426235199","0.891685426235199","0.848127543926239","0.848127543926239","0.848127543926239","0.8895268440246582","0.8895268440246582","0.8895268440246582","0.8683227300643921","0.8683227300643921","0.8683227300643921","0.8777061700820923","0.8777061700820923","0.8777061700820923","0.8696896433830261","0.8696896433830261","0.8696896433830261","0.8874788284301758","0.8874788284301758","0.8874788284301758","0.8816630840301514","0.8816630840301514","0.8816630840301514","0.8830632567405701","0.8830632567405701","0.8830632567405701","0.88730388879776","0.88730388879776","0.88730388879776"
"7","0.9157247543334961","0.9157247543334961","0.9157247543334961","0.9204312562942505","0.9204312562942505","0.9204312562942505","0.9166675209999084","0.9166675209999084","0.9166675209999084","0.9130734205245972","0.9130734205245972","0.9130734205245972","0.9229738712310791","0.9229738712310791","0.9229738712310791","0.9123647212982178","0.9123647212982178","0.9123647212982178","0.9112305045127869","0.9112305045127869","0.9112305045127869","0.9149121642112732","0.9149121642112732","0.9149121642112732","0.920546293258667","0.920546293258667","0.920546293258667","0.9108895659446716","0.9108895659446716","0.9108895659446716","0.9128887057304382","0.9128887057304382","0.9128887057304382","0.9229297041893005","0.9229297041893005","0.9229297041893005","0.9130379557609558","0.9130379557609558","0.9130379557609558","0.9144940376281738","0.9144940376281738","0.9144940376281738","0.9227261543273926","0.9227261543273926","0.9227261543273926","0.9185041785240173","0.9185041785240173","0.9185041785240173","0.9177985787391663","0.9177985787391663","0.9177985787391663","0.909480631351471","0.909480631351471","0.909480631351471","0.9133114814758301","0.9133114814758301","0.9133114814758301","0.9167423844337463","0.9167423844337463","0.9167423844337463","0.8836867809295654","0.8836867809295654","0.8836867809295654","0.8492006659507751","0.8492006659507751","0.8492006659507751","0.8835717439651489","0.8835717439651489","0.8835717439651489","0.8608853816986084","0.8608853816986084","0.8608853816986084","0.8805631995201111","0.8805631995201111","0.8805631995201111","0.8709402084350586","0.8709402084350586","0.8709402084350586","0.8798847794532776","0.8798847794532776","0.8798847794532776","0.8701567649841309","0.8701567649841309","0.8701567649841309","0.8626061081886292","0.8626061081886292","0.8626061081886292","0.8797591924667358","0.8797591924667358","0.8797591924667358"
"8","0.9105532169342041","0.9105532169342041","0.9105532169342041","0.9158686995506287","0.9158686995506287","0.9158686995506287","0.9115734100341797","0.9115734100341797","0.9115734100341797","0.9121720790863037","0.9121720790863037","0.9121720790863037","0.916675329208374","0.916675329208374","0.916675329208374","0.9146420359611511","0.9146420359611511","0.9146420359611511","0.916629433631897","0.916629433631897","0.916629433631897","0.9180145859718323","0.9180145859718323","0.9180145859718323","0.9161413908004761","0.9161413908004761","0.9161413908004761","0.9172058701515198","0.9172058701515198","0.9172058701515198","0.9122160077095032","0.9122160077095032","0.9122160077095032","0.9139633774757385","0.9139633774757385","0.9139633774757385","0.9122325778007507","0.9122325778007507","0.9122325778007507","0.9125548005104065","0.9125548005104065","0.9125548005104065","0.9188891053199768","0.9188891053199768","0.9188891053199768","0.9160581231117249","0.9160581231117249","0.9160581231117249","0.9160894751548767","0.9160894751548767","0.9160894751548767","0.9183382987976074","0.9183382987976074","0.9183382987976074","0.9176316261291504","0.9176316261291504","0.9176316261291504","0.9166920185089111","0.9166920185089111","0.9166920185089111","0.8830117583274841","0.8830117583274841","0.8830117583274841","0.8427711725234985","0.8427711725234985","0.8427711725234985","0.8860524892807007","0.8860524892807007","0.8860524892807007","0.8560940623283386","0.8560940623283386","0.8560940623283386","0.870055615901947","0.870055615901947","0.870055615901947","0.8672667145729065","0.8672667145729065","0.8672667145729065","0.8773923516273499","0.8773923516273499","0.8773923516273499","0.8705912232398987","0.8705912232398987","0.8705912232398987","0.86453777551651","0.86453777551651","0.86453777551651","0.8704826831817627","0.8704826831817627","0.8704826831817627"
"9","0.9134387373924255","0.9134387373924255","0.9134387373924255","0.9089098572731018","0.9089098572731018","0.9089098572731018","0.9169402122497559","0.9169402122497559","0.9169402122497559","0.9130953550338745","0.9130953550338745","0.9130953550338745","0.9035907983779907","0.9035907983779907","0.9035907983779907","0.9117071628570557","0.9117071628570557","0.9117071628570557","0.9121440649032593","0.9121440649032593","0.9121440649032593","0.9107629060745239","0.9107629060745239","0.9107629060745239","0.9138556122779846","0.9138556122779846","0.9138556122779846","0.9091536402702332","0.9091536402702332","0.9091536402702332","0.9106824398040771","0.9106824398040771","0.9106824398040771","0.9078392386436462","0.9078392386436462","0.9078392386436462","0.9116140007972717","0.9116140007972717","0.9116140007972717","0.9083336591720581","0.9083336591720581","0.9083336591720581","0.9081743359565735","0.9081743359565735","0.9081743359565735","0.9144752025604248","0.9144752025604248","0.9144752025604248","0.9093945026397705","0.9093945026397705","0.9093945026397705","0.9151151776313782","0.9151151776313782","0.9151151776313782","0.9132550358772278","0.9132550358772278","0.9132550358772278","0.9097963571548462","0.9097963571548462","0.9097963571548462","0.8793872594833374","0.8793872594833374","0.8793872594833374","0.83933025598526","0.83933025598526","0.83933025598526","0.8774610161781311","0.8774610161781311","0.8774610161781311","0.8367694616317749","0.8367694616317749","0.8367694616317749","0.8575528860092163","0.8575528860092163","0.8575528860092163","0.8640289306640625","0.8640289306640625","0.8640289306640625","0.8663502335548401","0.8663502335548401","0.8663502335548401","0.8621650338172913","0.8621650338172913","0.8621650338172913","0.8632388114929199","0.8632388114929199","0.8632388114929199","0.8615513443946838","0.8615513443946838","0.8615513443946838"
"10","0.9143055081367493","0.9143055081367493","0.9143055081367493","0.9112992286682129","0.9112992286682129","0.9112992286682129","0.9045328497886658","0.9045328497886658","0.9045328497886658","0.909088671207428","0.909088671207428","0.909088671207428","0.9106632471084595","0.9106632471084595","0.9106632471084595","0.9159495830535889","0.9159495830535889","0.9159495830535889","0.9118327498435974","0.9118327498435974","0.9118327498435974","0.9115819334983826","0.9115819334983826","0.9115819334983826","0.9188060760498047","0.9188060760498047","0.9188060760498047","0.9137004613876343","0.9137004613876343","0.9137004613876343","0.9075440764427185","0.9075440764427185","0.9075440764427185","0.9087058305740356","0.9087058305740356","0.9087058305740356","0.9083030223846436","0.9083030223846436","0.9083030223846436","0.9100657105445862","0.9100657105445862","0.9100657105445862","0.9096731543540955","0.9096731543540955","0.9096731543540955","0.9093336462974548","0.9093336462974548","0.9093336462974548","0.915439784526825","0.915439784526825","0.915439784526825","0.9087830781936646","0.9087830781936646","0.9087830781936646","0.9114987254142761","0.9114987254142761","0.9114987254142761","0.9086616635322571","0.9086616635322571","0.9086616635322571","0.8709587454795837","0.8709587454795837","0.8709587454795837","0.8351389169692993","0.8351389169692993","0.8351389169692993","0.8646395802497864","0.8646395802497864","0.8646395802497864","0.8260600566864014","0.8260600566864014","0.8260600566864014","0.8449745178222656","0.8449745178222656","0.8449745178222656","0.8517367839813232","0.8517367839813232","0.8517367839813232","0.867708146572113","0.867708146572113","0.867708146572113","0.8564841151237488","0.8564841151237488","0.8564841151237488","0.8603239059448242","0.8603239059448242","0.8603239059448242","0.8617863655090332","0.8617863655090332","0.8617863655090332"