"Step","atomic-sweep-1 - var_square_loss_track","atomic-sweep-1 - var_square_loss_track__MIN","atomic-sweep-1 - var_square_loss_track__MAX"
"0","0.009782547131180763","0.009782547131180763","0.009782547131180763"
"2","0.009041712619364262","0.009041712619364262","0.009041712619364262"
"4","0.008673557080328465","0.008673557080328465","0.008673557080328465"
"6","0.008371075615286827","0.008371075615286827","0.008371075615286827"
"8","0.008037119172513485","0.008037119172513485","0.008037119172513485"
"10","0.008655823767185211","0.008655823767185211","0.008655823767185211"
"12","0.00839073397219181","0.00839073397219181","0.00839073397219181"
"14","0.007771984674036503","0.007771984674036503","0.007771984674036503"
"16","0.008443637751042843","0.008443637751042843","0.008443637751042843"
"18","0.007742011453956366","0.007742011453956366","0.007742011453956366"
"20","0.00745425233617425","0.00745425233617425","0.00745425233617425"