"Step","atomic-sweep-1 - l2_loss_track","atomic-sweep-1 - l2_loss_track__MIN","atomic-sweep-1 - l2_loss_track__MAX"
"0","0.9227792620658875","0.9227792620658875","0.9227792620658875"
"2","0.9052134156227112","0.9052134156227112","0.9052134156227112"
"4","0.8732506036758423","0.8732506036758423","0.8732506036758423"
"6","0.8533911108970642","0.8533911108970642","0.8533911108970642"
"8","0.8515978455543518","0.8515978455543518","0.8515978455543518"
"10","0.841756284236908","0.841756284236908","0.841756284236908"
"12","0.8386655449867249","0.8386655449867249","0.8386655449867249"
"14","0.8279874324798584","0.8279874324798584","0.8279874324798584"
"16","0.8289511203765869","0.8289511203765869","0.8289511203765869"
"18","0.8206866979598999","0.8206866979598999","0.8206866979598999"
"20","0.8076754212379456","0.8076754212379456","0.8076754212379456"